Type	RiPPs_Class
cyclic-lactone-autoinducer	cyclic-lactone-autoinducer
"cyclic-lactone-autoinducer,lanthipeptide-class-ii"	Others
"cyclic-lactone-autoinducer,lanthipeptide-class-iii"	Others
"cyclic-lactone-autoinducer,lanthipeptide-class-iv"	Others
"cyclic-lactone-autoinducer,LAP,thiopeptide"	Others
"cyclic-lactone-autoinducer,RiPP-like"	Others
"cyclic-lactone-autoinducer,sactipeptide"	Others
"cyclic-lactone-autoinducer,thiopeptide,LAP"	Others
glycocin	Others
lanthipeptide-class-i	lanthipeptide
"lanthipeptide-class-i,cyclic-lactone-autoinducer"	Others
"lanthipeptide-class-i,lanthipeptide-class-iii"	Others
"lanthipeptide-class-i,RaS-RiPP"	Others
"lanthipeptide-class-i,RiPP-like"	Others
lanthipeptide-class-ii	lanthipeptide
"lanthipeptide-class-ii,cyclic-lactone-autoinducer"	Others
"lanthipeptide-class-ii,cyclic-lactone-autoinducer,LAP,thiopeptide"	Others
"lanthipeptide-class-ii,lanthipeptide-class-i"	Others
"lanthipeptide-class-ii,LAP,thiopeptide"	Others
"lanthipeptide-class-ii,RaS-RiPP"	Others
"lanthipeptide-class-ii,RiPP-like"	Others
"lanthipeptide-class-ii,RRE-containing"	Others
lanthipeptide-class-iii	lanthipeptide
"lanthipeptide-class-iii,cyclic-lactone-autoinducer"	Others
"lanthipeptide-class-iii,RRE-containing"	Others
lanthipeptide-class-iv	lanthipeptide
"lanthipeptide-class-iv,arylpolyene"	Others
"lanthipeptide-class-iv,cyclic-lactone-autoinducer"	Others
"lanthipeptide-class-iv,RaS-RiPP"	Others
"lanthipeptide-class-iv,RiPP-like"	Others
"lanthipeptide-class-iv,RRE-containing"	Others
lanthipeptide-class-v	lanthipeptide
LAP	LAP
"LAP,cyclic-lactone-autoinducer"	Others
"LAP,lassopeptide"	Others
"LAP,RiPP-like"	Others
"LAP,thiopeptide"	Others
"LAP,thiopeptide,cyclic-lactone-autoinducer"	Others
"LAP,thiopeptide,RiPP-like"	Others
lassopeptide	lassopeptide
"lassopeptide,lanthipeptide-class-iii"	Others
"lassopeptide,LAP"	Others
"lassopeptide,ranthipeptide"	Others
ranthipeptide	rSAM-Modified
"ranthipeptide,RiPP-like"	Others
RaS-RiPP	rSAM-Modified
"RaS-RiPP,lanthipeptide-class-ii"	Others
"RaS-RiPP,lanthipeptide-class-iv"	Others
"RaS-RiPP,RiPP-like"	Others
"RaS-RiPP,sactipeptide"	Others
RiPP-like	RiPP-like
"RiPP-like,lanthipeptide-class-i"	Others
"RiPP-like,lanthipeptide-class-i,RaS-RiPP"	Others
"RiPP-like,lanthipeptide-class-ii"	Others
"RiPP-like,lanthipeptide-class-iv"	Others
"RiPP-like,RaS-RiPP"	Others
"RiPP-like,RRE-containing"	Others
RRE-containing	RRE-containing
"RRE-containing,cyclic-lactone-autoinducer"	Others
"RRE-containing,lanthipeptide-class-i"	Others
"RRE-containing,lanthipeptide-class-ii"	Others
"RRE-containing,lanthipeptide-class-iii"	Others
"RRE-containing,RaS-RiPP"	Others
"RRE-containing,RiPP-like"	Others
sactipeptide	rSAM-Modified
"sactipeptide,cyclic-lactone-autoinducer"	Others
"sactipeptide,RaS-RiPP"	Others
thiopeptide	Others
"thiopeptide,LAP"	Others
"thiopeptide,LAP,cyclic-lactone-autoinducer"	Others
"thiopeptide,LAP,RaS-RiPP"	Others
"thiopeptide,RaS-RiPP,LAP"	Others
"thiopeptide,RRE-containing"	Others